Trial,E-Greedy Cumulative Reward,Thompson Sampling Cumulative Reward
858,74,597
859,74,598
860,74,599
861,75,600
862,75,600
863,76,601
864,76,601
865,76,602
866,76,603
867,76,604
868,76,605
869,76,606
870,76,607
871,76,608
872,77,608
873,77,608
874,77,609
875,77,610
876,77,611
877,77,612
878,77,613
879,77,614
880,77,614
881,77,614
882,77,615
883,77,616
884,77,617
885,77,618
886,78,618
887,78,618
888,78,619
889,78,620
890,79,621
891,79,621
892,79,622
893,79,622
894,79,622
895,79,622
896,79,622
897,79,623
898,80,624
899,80,625
900,80,626
901,80,627
902,80,628
903,80,629
904,81,630
905,82,631
906,82,632
907,82,632
908,82,633
909,82,634
910,82,634
911,83,635
912,83,635
913,83,636
914,83,636
915,83,637
916,83,637
917,83,637
918,83,637
919,83,638
920,83,638
921,83,639
922,83,640
923,83,640
924,84,641
925,84,642
926,84,643
927,84,644
928,84,645
929,84,646
930,84,646
931,84,647
932,84,647
933,84,648
934,84,648
935,84,648
936,84,649
937,84,649
938,84,650
939,84,651
940,85,651
941,85,652
942,85,652
943,85,653
944,85,654
945,85,654
946,85,655
947,85,656
948,85,657
949,85,657
950,85,658
951,85,658
952,86,659
953,86,660
954,86,661
955,86,661
956,86,662
957,86,663
958,86,663
959,86,663
960,86,664
961,86,664
962,87,665
963,87,666
964,87,667
965,87,667
966,88,668
967,88,669
968,88,670
969,88,671
970,88,671
971,88,671
972,88,671
973,88,672
974,88,673
975,88,673
976,89,674
977,89,675
978,89,676
979,89,676
980,89,676
981,89,677
982,89,677
983,89,677
984,89,678
985,89,678
986,90,679
987,90,679
988,90,680
989,90,681
990,90,682
991,90,683
992,90,684
993,90,685
994,90,686
995,90,687
996,90,688
997,90,689
998,90,690
999,90,691
1000,90,692
1001,90,693
1002,90,694
1003,90,695
1004,91,695
1005,91,695
1006,91,696
1007,91,697
1008,91,698
1009,91,699
1010,91,700
1011,91,701
1012,91,702
1013,91,702
1014,91,702
1015,91,703
1016,91,704
1017,91,705
1018,91,706
1019,91,706
1020,91,706
1021,91,707
1022,91,708
1023,91,709
1024,92,710
1025,92,711
1026,92,712
1027,92,713
1028,92,714
1029,92,715
1030,92,715
1031,92,716
1032,92,717
1033,92,718
1034,92,719
1035,93,720
1036,94,721
1037,94,722
1038,94,723
1039,94,724
1040,94,724
1041,94,725
1042,95,726
1043,95,726
1044,95,726
1045,95,726
1046,95,727
1047,96,728
1048,96,729
1049,96,730
1050,96,731
1051,96,732
1052,96,733
1053,96,734
1054,96,734
1055,96,735
1056,96,735
1057,96,735
1058,96,736
1059,96,736
1060,96,737
1061,96,738
1062,96,739
1063,96,740
1064,96,740
1065,96,741
1066,96,741
1067,96,741
1068,96,742
1069,96,743
1070,96,744
1071,96,745
1072,96,745
1073,96,746
1074,96,747
1075,96,748
1076,97,748
1077,97,748
1078,97,748
1079,97,749
1080,97,750
1081,97,751
1082,98,751
1083,98,752
1084,98,753
1085,98,753
1086,98,753
1087,98,754
1088,98,754
1089,98,755
1090,98,755
1091,98,755
1092,98,756
1093,98,756
1094,98,756
1095,98,756
1096,98,757
1097,98,758
1098,98,758
1099,98,758
1100,98,759
1101,99,760
1102,99,761
1103,99,762
1104,99,763
1105,99,764
1106,99,765
1107,99,765
1108,99,765
1109,99,766
1110,99,767
1111,99,768
1112,100,769
1113,100,769
1114,100,769
1115,100,770
1116,100,771
1117,100,772
1118,100,773
1119,100,773
1120,100,774
1121,100,775
1122,100,776
1123,100,777
1124,100,778
1125,100,779
1126,100,780
1127,100,781
1128,100,782
1129,101,782
1130,101,782
1131,101,783
1132,101,783
1133,101,784
1134,101,785
1135,101,786
1136,101,787
1137,101,788
1138,101,789
1139,102,790
1140,102,791
1141,102,792
1142,102,793
1143,102,794
1144,102,795
1145,102,796
1146,102,797
1147,102,797
1148,102,798
1149,102,799
1150,102,799
1151,103,800
1152,103,800
1153,103,801
1154,103,802
1155,103,803
1156,103,804
1157,103,805
1158,103,806
1159,103,806
1160,103,807
1161,104,808
1162,104,809
1163,104,809
1164,104,810
1165,104,811
1166,104,812
1167,105,813
1168,105,814
1169,105,814
1170,105,815
1171,105,816
1172,105,816
1173,105,817
1174,105,818
1175,105,819
1176,105,820
1177,105,820
1178,105,821
1179,105,822
1180,105,823
1181,105,824
1182,105,825
1183,105,826
1184,105,827
1185,105,828
1186,105,828
1187,105,829
1188,105,830
1189,105,831
1190,105,832
1191,105,833
1192,105,833
1193,105,834
1194,105,835
1195,105,836
1196,105,836
1197,105,837
1198,105,837
1199,105,837
1200,105,838
1201,105,839
1202,105,840
1203,105,841
1204,105,842
1205,105,842
1206,105,842
1207,105,842
1208,105,843
1209,105,844
1210,106,845
1211,106,845
1212,106,845
1213,106,845
1214,106,846
1215,106,847
1216,107,848
1217,107,849
1218,107,850
1219,107,850
1220,107,851
1221,107,851
1222,107,852
1223,108,853
1224,108,854
1225,108,855
1226,108,856
1227,108,857
1228,108,857
1229,108,858
1230,109,858
1231,109,858
1232,109,859
1233,109,860
1234,109,861
1235,109,861
1236,110,861
1237,110,861
1238,111,862
1239,111,863
1240,111,864
1241,111,864
1242,111,865
1243,111,865
1244,111,866
1245,111,867
1246,111,868
1247,111,869
1248,111,870
1249,111,871
1250,111,872
1251,111,873
1252,111,873
1253,111,874
1254,112,874
1255,113,875
1256,113,876
1257,113,877
1258,113,877
1259,113,878
1260,113,879
1261,113,880
1262,113,881
1263,113,881
1264,113,881
1265,113,882
1266,113,883
1267,114,884
1268,114,884
1269,114,885
1270,114,886
1271,114,886
1272,114,887
1273,114,888
1274,114,888
1275,114,889
1276,114,890
1277,114,891
1278,114,891
1279,114,892
1280,114,892
1281,114,893
1282,114,894
1283,114,894
1284,114,895
1285,115,896
1286,115,897
1287,115,898
1288,115,898
1289,115,899
1290,115,899
1291,115,900
1292,115,901
1293,116,902
1294,116,902
1295,116,903
1296,116,904
1297,116,905
1298,116,906
1299,116,907
1300,116,908
1301,116,909
1302,116,910
1303,116,910
1304,116,911
1305,116,912
1306,116,912
1307,116,913
1308,116,914
1309,116,915
1310,116,916
1311,116,917
1312,117,917
1313,117,918
1314,117,919
1315,117,919
1316,117,920
1317,117,920
1318,118,921
1319,119,922
1320,119,922
1321,119,923
1322,119,924
1323,120,925
1324,120,926
1325,120,926
1326,120,927
1327,120,927
1328,120,928
1329,120,929
1330,120,930
1331,120,931
1332,120,931
1333,120,932
1334,120,933
1335,120,933
1336,120,933
1337,120,933
1338,120,934
1339,120,935
1340,120,936
1341,120,937
1342,120,937
1343,120,938
1344,120,939
1345,120,940
1346,120,941
1347,120,942
1348,120,943
1349,121,943
1350,121,944
1351,121,945
1352,121,946
1353,121,946
1354,122,947
1355,122,948
1356,122,948
1357,122,949
1358,122,950
1359,123,950
1360,124,951
1361,124,952
1362,124,953
1363,124,954
1364,124,954
1365,125,954
1366,125,954
1367,125,954
1368,125,954
1369,125,955
1370,125,956
1371,125,956
1372,125,956
1373,125,957
1374,125,957
1375,125,958
1376,125,959
1377,125,960
1378,125,960
1379,125,961
1380,125,962
1381,125,963
1382,125,963
1383,125,964
1384,125,965
1385,125,965
1386,125,965
1387,125,966
1388,125,967
1389,125,967
1390,126,968
1391,126,968
1392,126,968
1393,126,969
1394,126,969
1395,127,970
1396,127,971
1397,127,971
1398,127,972
1399,127,973
1400,127,973
1401,127,973
1402,127,973
1403,127,973
1404,127,974
1405,127,975
1406,127,975
1407,127,975
1408,127,975
1409,128,976
1410,128,976
1411,129,977
1412,129,978
1413,129,979
1414,129,979
1415,129,980
1416,129,981
1417,129,982
1418,129,983
1419,130,984
1420,130,985
1421,130,986
1422,130,987
1423,130,987
1424,130,988
1425,130,989
1426,130,989
1427,130,989
1428,130,990
1429,130,990
1430,130,991
1431,131,991
1432,131,992
1433,131,993
1434,131,994
1435,131,995
1436,131,996
1437,131,997
1438,131,998
1439,131,998
1440,131,998
1441,131,998
1442,131,999
1443,131,1000
1444,132,1000
1445,132,1001
1446,133,1002
1447,133,1003
1448,133,1004
1449,133,1004
1450,133,1004
1451,133,1005
1452,133,1005
1453,133,1006
1454,133,1007
1455,133,1008
1456,133,1009
1457,133,1009
1458,133,1010
1459,133,1011
1460,133,1012
1461,133,1012
1462,133,1013
1463,133,1014
1464,133,1015
1465,133,1016
1466,133,1017
1467,133,1018
1468,134,1019
1469,134,1019
1470,134,1020
1471,134,1021
1472,134,1022
1473,135,1022
1474,135,1023
1475,135,1024
1476,135,1025
1477,135,1026
1478,135,1027
1479,135,1027
1480,135,1028
1481,135,1029
1482,135,1029
1483,135,1030
1484,135,1031
1485,135,1031
1486,135,1032
1487,136,1033
1488,136,1034
1489,137,1035
1490,137,1036
1491,137,1037
1492,137,1037
1493,137,1038
1494,137,1039
1495,137,1039
1496,137,1040
1497,137,1041
1498,137,1042
1499,137,1043
1500,137,1043
1501,137,1044
1502,137,1045
1503,138,1046
1504,138,1047
1505,138,1048
1506,138,1049
1507,139,1050
1508,139,1051
1509,139,1052
1510,139,1052
1511,139,1053
1512,139,1053
1513,139,1054
1514,139,1054
1515,139,1054
1516,139,1055
1517,139,1055
1518,139,1056
1519,140,1057
1520,140,1058
1521,140,1059
1522,140,1060
1523,140,1061
1524,140,1062
1525,140,1063
1526,140,1063
1527,141,1064
1528,141,1065
1529,141,1066
1530,141,1067
1531,141,1068
1532,141,1069
1533,141,1070
1534,142,1071
1535,142,1071
1536,142,1072
1537,142,1073
1538,142,1074
1539,142,1075
1540,142,1076
1541,142,1076
1542,142,1076
1543,142,1077
1544,142,1078
1545,142,1079
1546,142,1079
1547,142,1080
1548,142,1080
1549,142,1081
1550,142,1081
1551,142,1082
1552,142,1083
1553,142,1084
1554,142,1085
1555,142,1086
1556,142,1087
1557,143,1087
1558,143,1088
1559,143,1089
1560,143,1090
1561,143,1091
1562,143,1092
1563,143,1093
1564,143,1093
1565,144,1093
1566,145,1094
1567,145,1095
1568,145,1096
1569,145,1097
1570,145,1098
1571,145,1098
1572,145,1099
1573,145,1099
1574,145,1100
1575,145,1100
1576,146,1101
1577,146,1102
1578,146,1103
1579,146,1104
1580,146,1104
1581,146,1104
1582,146,1105
1583,146,1106
1584,146,1107
1585,146,1107
1586,146,1107
1587,146,1108
1588,146,1109
1589,146,1110
1590,146,1111
1591,146,1112
1592,147,1112
1593,147,1113
1594,147,1114
1595,147,1115
1596,147,1116
1597,147,1116
1598,147,1117
1599,147,1118
1600,147,1119
1601,147,1119
1602,147,1119
1603,147,1120
1604,147,1121
1605,147,1121
1606,147,1122
1607,147,1123
1608,147,1124
1609,147,1125
1610,147,1125
1611,147,1125
1612,147,1126
1613,147,1127
1614,147,1127
1615,147,1128
1616,147,1128
1617,147,1129
1618,147,1129
1619,147,1129
1620,147,1129
1621,147,1130
1622,147,1131
1623,148,1132
1624,149,1133
1625,149,1134
1626,149,1135
1627,149,1136
1628,149,1137
1629,149,1137
1630,149,1138
1631,149,1139
1632,150,1140
1633,150,1141
1634,150,1142
1635,150,1143
1636,150,1144
1637,150,1145
1638,150,1146
1639,150,1147
1640,150,1147
1641,150,1148
1642,150,1149
1643,150,1150
1644,150,1150
1645,150,1151
1646,150,1151
1647,150,1152
1648,150,1153
1649,150,1154
1650,151,1155
1651,151,1156
1652,151,1157
1653,151,1157
1654,151,1158
1655,151,1159
1656,151,1160
1657,151,1161
1658,151,1162
1659,151,1162
1660,151,1163
1661,151,1163
1662,151,1164
1663,151,1165
1664,152,1166
1665,152,1166
1666,152,1166
1667,153,1167
1668,153,1168
1669,153,1169
1670,153,1169
1671,153,1170
1672,153,1170
1673,153,1170
1674,153,1171
1675,153,1172
1676,153,1172
1677,153,1173
1678,153,1174
1679,153,1175
1680,153,1176
1681,153,1177
1682,153,1178
1683,153,1179
1684,153,1180
1685,153,1180
1686,153,1181
1687,153,1182
1688,153,1183
1689,153,1184
1690,153,1185
1691,153,1185
1692,153,1186
1693,153,1186
1694,153,1187
1695,153,1188
1696,153,1189
1697,153,1190
1698,153,1190
1699,153,1190
1700,153,1191
1701,153,1192
1702,153,1193
1703,153,1194
1704,153,1195
1705,153,1196
1706,153,1197
1707,153,1198
1708,153,1198
1709,153,1199
1710,153,1199
1711,153,1199
1712,153,1200
1713,153,1201
1714,153,1202
1715,153,1203
1716,153,1203
1717,153,1204
1718,153,1205
1719,153,1206
1720,153,1206
1721,153,1207
1722,153,1208
1723,154,1209
1724,154,1210
1725,154,1211
1726,154,1212
1727,154,1213
1728,154,1214
1729,154,1214
1730,154,1215
1731,154,1215
1732,154,1216
1733,154,1216
1734,154,1216
1735,154,1217
1736,154,1218
1737,154,1219
1738,154,1219
1739,154,1219
1740,154,1220
1741,154,1221
1742,155,1222
1743,155,1222
1744,155,1223
1745,155,1223
1746,155,1224
1747,155,1224
1748,155,1225
1749,155,1226
1750,155,1226
1751,155,1226
1752,155,1227
1753,156,1227
1754,156,1228
1755,157,1228
1756,157,1229
1757,157,1229
1758,157,1229
1759,157,1230
1760,157,1231
1761,157,1232
1762,158,1233
1763,158,1233
1764,158,1234
1765,158,1235
1766,158,1236
1767,158,1236
1768,159,1236
1769,160,1237
1770,161,1237
1771,161,1238
1772,161,1238
1773,161,1239
1774,161,1240
1775,161,1241
1776,161,1242
1777,161,1243
1778,161,1244
1779,161,1244
1780,161,1244
1781,161,1244
1782,161,1245
1783,162,1246
1784,162,1246
1785,162,1246
1786,162,1246
1787,162,1247
1788,162,1247
1789,162,1248
1790,162,1249
1791,163,1250
1792,163,1251
1793,163,1251
1794,164,1252
1795,164,1253
1796,164,1254
1797,164,1255
1798,164,1256
1799,164,1257
1800,164,1258
1801,164,1259
1802,164,1260
1803,164,1261
1804,164,1262
1805,164,1262
1806,164,1263
1807,164,1263
1808,164,1264
1809,164,1265
1810,164,1265
1811,164,1266
1812,164,1267
1813,164,1268
1814,164,1269
1815,164,1270
1816,164,1271
1817,164,1271
1818,164,1272
1819,165,1272
1820,165,1273
1821,166,1274
1822,166,1274
1823,166,1275
1824,166,1275
1825,166,1275
1826,166,1276
1827,166,1276
1828,166,1276
1829,166,1276
1830,166,1277
1831,166,1278
1832,166,1279
1833,166,1279
1834,166,1280
1835,167,1281
1836,167,1282
1837,167,1283
1838,168,1284
1839,168,1285
1840,168,1286
1841,168,1287
1842,169,1288
1843,169,1288
1844,169,1289
1845,169,1289
1846,169,1290
1847,169,1291
1848,169,1292
1849,169,1293
1850,169,1293
1851,169,1294
1852,169,1295
1853,169,1296
1854,169,1297
1855,169,1298
1856,169,1299
1857,169,1300
1858,169,1301
1859,169,1302
1860,170,1303
1861,170,1303
1862,170,1304
1863,170,1305
1864,170,1306
1865,170,1307
1866,170,1308
1867,170,1308
1868,170,1309
1869,170,1309
1870,170,1310
1871,171,1311
1872,171,1311
1873,171,1311
1874,171,1312
1875,171,1312
1876,171,1313
1877,171,1314
1878,171,1315
1879,171,1316
1880,171,1317
1881,171,1318
1882,171,1318
1883,171,1319
1884,171,1319
1885,171,1319
1886,171,1319
1887,171,1320
1888,171,1320
1889,171,1320
1890,171,1320
1891,171,1321
1892,172,1321
1893,172,1322
1894,172,1322
1895,172,1323
1896,173,1324
1897,173,1324
1898,173,1324
1899,173,1324
1900,173,1325
1901,173,1326
1902,173,1327
1903,173,1328
1904,174,1328
1905,174,1328
1906,174,1329
1907,174,1330
1908,174,1331
1909,174,1331
1910,175,1332
1911,175,1332
1912,175,1333
1913,175,1334
1914,175,1335
1915,175,1336
1916,175,1337
1917,175,1338
1918,175,1339
1919,175,1340
1920,176,1341
1921,176,1342
1922,176,1343
1923,176,1344
1924,176,1345
1925,176,1346
1926,176,1346
1927,177,1346
1928,177,1347
1929,178,1348
1930,179,1349
1931,179,1349
1932,179,1350
1933,179,1351
1934,179,1352
1935,179,1353
1936,179,1354
1937,179,1355
1938,179,1356
1939,179,1357
1940,179,1358
1941,179,1358
1942,179,1359
1943,179,1359
1944,179,1360
1945,180,1360
1946,180,1360
1947,180,1360
1948,180,1360
1949,180,1360
1950,180,1361
1951,180,1361
1952,180,1361
1953,181,1362
1954,181,1363
1955,181,1364
1956,181,1365
1957,181,1366
1958,181,1367
1959,181,1368
1960,181,1368
1961,181,1369
1962,181,1370
1963,181,1370
1964,181,1371
1965,181,1372
1966,181,1372
1967,181,1372
1968,181,1373
1969,181,1373
1970,182,1373
1971,182,1374
1972,182,1375
1973,182,1375
1974,182,1375
1975,182,1375
1976,182,1375
1977,182,1376
1978,183,1376
1979,183,1377
1980,183,1378
1981,183,1379
1982,183,1380
1983,183,1381
1984,183,1382
1985,183,1383
1986,183,1384
1987,183,1385
1988,183,1386
1989,183,1387
1990,183,1388
1991,183,1389
1992,184,1390
1993,184,1391
1994,184,1392
1995,184,1392
1996,184,1393
1997,184,1394
1998,184,1394
1999,184,1394
2000,184,1395
2001,184,1396
2002,184,1397
2003,184,1398
2004,184,1399
2005,185,1400
2006,186,1401
2007,186,1402
2008,186,1403
2009,186,1403
2010,186,1403
2011,187,1404
2012,187,1405
2013,187,1405
2014,187,1406
2015,187,1407
2016,188,1408
2017,188,1409
2018,188,1410
2019,188,1411
2020,188,1411
2021,188,1412
